Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6269,"5c6d6b9f39c0bb322db2d989, 'New', 'New', 'New'",1.0565097332000732,aa37d350-b346-4829-9fc2-aa54ea238152,276,409,268,401,undefined,,,
6270,5c6d68ca39c0bb322db2d5f8,0.1715494990348816,0,2,0.5445879697799683,a1034f03-123b-40df-b34a-5df313c3dd59,272,383,86,196,undefined
6271,"5c6d5ec539c0bb322db2c7ae, 'New', 'New', 'New'",0.919391393661499,c3120985-8418-4672-b5bf-da0144230291,115,307,338,529,undefined,,,
6272,5c6d5e9039c0bb322db2c742,0.14931993186473846,0,1,1.0403603315353394,c9888c4e-91a9-411b-835f-0af14a5badf3,98,257,273,433,undefined
6273,"5c6d5e5a39c0bb322db2c6fc, 'New', 'New', 'New'",0.9381388425827026,3a1ee4b7-9769-451c-b0c8-31f31e7804d4,51,281,307,536,undefined,,,
6274,5c6d5d6e39c0bb322db2c567,0.16814613342285156,0,5,1.0809602737426758,8bf0fec2-d2f5-447b-85b5-937cbedb33c7,239,349,52,163,undefined
6275,5c6d58f339c0bb322db2bf5c,0.17688167095184326,0,2,0.7450089454650879,cadc701d-c541-4a14-ba71-4dba56727bab,121,350,260,490,undefined
6276,"5c6d58dd39c0bb322db2bf42, 'New', 'New', 'New'",1.0507444143295288,06562fae-4efe-4dd3-82b5-0bf3aa56e5b9,154,345,260,452,undefined,,,
6277,"5c6d585239c0bb322db2be8a, 'New', 'New', 'New'",0.9981281757354736,6259e586-b7a9-47b7-8585-974c83f925a1,261,371,-3,107,undefined,,,
6278,5c6d585239c0bb322db2be8a,0.14698979258537292,0,1,0.9215818643569946,522a6114-103c-4770-951a-9aee2e4a1125,281,326,470,515,undefined
6279,"5c6d53e139c0bb322db2b7ad, 'New', 'New', 'New'",1.0601221323013306,8343c0b0-d867-46bc-912f-db9c76d79a7a,195,354,241,401,undefined,,,
6280,5c6d4f6f39c0bb322db2b124,0.1441769003868103,0,5,0.843292236328125,a1b0bc8f-efbb-4ef2-b5d7-5885308ce15d,195,354,305,465,undefined
6281,"5c6d4f5439c0bb322db2b118, 'New', 'New', 'New'",1.0733205080032349,63812942-0845-4026-807c-d57f17b53155,209,342,375,508,undefined,,,
6282,5c6d4e1239c0bb322db2ae9e,0.15801754593849182,0,5,0.42111438512802124,7db2b224-c57c-4a47-b97d-ebb3f8828bd1,178,338,225,384,undefined
6283,"5c6d4dfe39c0bb322db2ae94, 'New', 'New', 'New'",1.1033138036727905,41cfff78-f28d-4079-aed8-afca9476ed13,196,240,551,596,undefined,,,
6284,5c6d4dfe39c0bb322db2ae94,0.16950321197509766,0,1,0.7373775243759155,44635de1-544b-4a1d-b013-c02d93f33d47,255,308,68,121,undefined
6285,"5c6d4dfe39c0bb322db2ae94, 'New', 'New', 'New'",0.677910327911377,768d6780-491d-4f13-aa46-8f64d4380f50,214,443,214,443,undefined,,,
